Sample_ID,Date,Year,Voyages,Ordinal_Day,Month,Sex,Preg,Cortisol
Mn19_011C_P,1/11/19,2019,360,11,January,F,Yes,0.401
Mn19_011E_P,1/11/19,2019,360,11,January,F,No,0.327
Mn19_013B_L,1/13/19,2019,360,13,January,F,No,0.662
Mn19_014A_P,1/14/19,2019,360,14,January,F,Yes,0.426
Mn19_015A_P,1/15/19,2019,360,15,January,F,Yes,0.481
Mn19_015E_P,1/15/19,2019,360,15,January,F,Yes,0.703
Mn19_015G_P,1/15/19,2019,360,15,January,F,No,0.403
Mn19_017A_P,1/17/19,2019,360,17,January,F,No,0.616
Mn19_017D_P,1/17/19,2019,360,17,January,F,No,0.567
Mn19_017J_P,1/17/19,2019,360,17,January,F,No,0.184
Mn19_023D_P,1/23/19,2019,360,23,January,F,Yes,0.849
Mn19_023F_P,1/23/19,2019,360,23,January,F,Yes,0.350
Mn19_025B_L,1/25/19,2019,360,25,January,F,Yes,0.576
Mn19_026B_P,1/26/19,2019,360,26,January,F,No,1.116
Mn19_026C_P,1/26/19,2019,360,26,January,F,No,0.369
Mn19_028B_P,1/28/19,2019,360,28,January,F,No,0.606
Mn19_028C_P,1/28/19,2019,360,28,January,F,Yes,0.587
Mn19_028D_P,1/28/19,2019,360,28,January,F,No,0.509
Mn19_028E_P,1/28/19,2019,360,28,January,F,Yes,1.105
Mn19_029A_P,1/29/19,2019,360,29,January,F,No,0.370
Mn19_030J_L,1/30/19,2019,360,30,January,F,No,0.288
Mn19_030L_L,1/30/19,2019,360,30,January,F,Yes,0.598
Mn19_031A_L,1/31/19,2019,360,31,January,F,Yes,0.506
Mn19_031B_L,1/31/19,2019,360,31,January,F,No,0.338
Mn19_031C_P,1/31/19,2019,360,31,January,F,Yes,0.326
Mn19_031F_P,1/31/19,2019,360,31,January,F,Yes,0.466
Mn19_032A_P,2/1/19,2019,360,32,February,F,Yes,0.313
Mn19_033A_P,2/2/19,2019,360,33,February,F,Yes,0.344
Mn19_034A_L,2/3/19,2019,360,34,February,F,Yes,0.459
Mn19_034B_L,2/3/19,2019,360,34,February,F,Yes,0.298
Mn19_034C_L,2/3/19,2019,360,34,February,F,Yes,0.452
Mn19_036A_L,2/5/19,2019,360,36,February,F,Yes,0.688
Mn19_036A_P,2/5/19,2019,360,36,February,F,No,0.660
Mn19_036D_L,2/5/19,2019,360,36,February,F,No,0.259
Mn19_036E_L,2/5/19,2019,360,36,February,F,Yes,0.413
Mn19_038B_P,2/7/19,2019,360,38,February,F,No,0.523
Mn19_042B_P,2/11/19,2019,360,42,February,F,Yes,0.332
Mn19_043A_P,2/12/19,2019,360,43,February,F,Yes,0.427
Mn19_045B_P,2/14/19,2019,360,45,February,F,Yes,0.563
Mn19_048A_P,2/17/19,2019,360,48,February,F,No,1.145
Mn19_049A_P,2/18/19,2019,360,49,February,F,No,0.376
Mn19_059B_L,2/28/19,2019,360,59,February,F,No,0.475
Mn19_062A_P,3/3/19,2019,360,62,March,F,Yes,0.186
Mn19_062C_P,3/3/19,2019,360,62,March,F,No,0.463
Mn19_062D_L,3/3/19,2019,360,62,March,F,Yes,0.630
Mn19_063C_L,3/4/19,2019,360,63,March,F,No,0.314
Mn19_064C_P,3/5/19,2019,360,64,March,F,No,0.341
Mn19_064E_P,3/5/19,2019,360,64,March,F,No,0.388
Mn19_065A_L,3/6/19,2019,360,65,March,F,No,0.304
Mn19_065B_L,3/6/19,2019,360,65,March,F,No,0.463
Mn19_065E_V,3/6/19,2019,360,65,March,F,No,0.345
Mn19_067A_P,3/8/19,2019,360,67,March,F,No,0.249
Mn19_069A_P,3/10/19,2019,360,69,March,F,No,0.325
Mn19_070E_L,3/11/19,2019,360,70,March,F,Yes,0.279
Mn19_083B_R,3/24/19,2019,360,83,March,F,Yes,0.175
Mn19_085D_R,3/26/19,2019,360,85,March,F,No,0.228
Mn20_005D_L,1/5/20,2020,408,5,January,F,No,0.321
Mn20_006D_L,1/6/20,2020,408,6,January,F,No,0.674
Mn20_011A_P,1/8/20,2020,408,8,January,F,No,0.509
Mn20_012B_P,1/11/20,2020,408,11,January,F,No,0.590
Mn20_012D_P,1/12/20,2020,408,12,January,F,Yes,0.721
Mn20_013D_L,1/13/20,2020,408,13,January,F,Yes,0.589
Mn20_015A_P,1/15/20,2020,408,15,January,F,No,0.608
Mn20_016A_L,1/16/20,2020,408,16,January,F,Yes,0.767
Mn20_017C_P,1/17/20,2020,408,17,January,F,No,0.439
Mn20_018C_L,1/18/20,2020,408,18,January,F,Yes,0.383
Mn20_023C_P,1/23/20,2020,408,23,January,F,No,0.239
Mn20_024B_P,1/24/20,2020,408,24,January,F,No,0.298
Mn20_026A_P,1/26/20,2020,408,26,January,F,No,0.483
Mn20_026B_P,1/26/20,2020,408,26,January,F,No,0.415
Mn20_029B_L,1/29/20,2020,408,29,January,F,No,0.678
Mn20_029B_P,1/29/20,2020,408,29,January,F,No,0.478
Mn20_029C_L,1/29/20,2020,408,29,January,F,No,0.545
Mn20_029F_P,1/29/20,2020,408,29,January,F,Yes,0.238
Mn20_029H_P,1/29/20,2020,408,29,January,F,No,0.507
Mn20_030A_P,1/30/20,2020,408,30,January,F,No,0.528
Mn20_030D_L,1/30/20,2020,408,30,January,F,Yes,0.634
Mn20_030F_L,1/30/20,2020,408,30,January,F,Yes,0.970
Mn20_030G_L,1/30/20,2020,408,30,January,F,Yes,0.291
Mn20_035A_L,2/4/20,2020,408,35,February,F,No,0.514
Mn20_035A_P,2/4/20,2020,408,35,February,F,No,0.508
Mn20_035D_L,2/4/20,2020,408,35,February,F,Yes,0.808
Mn20_035G_L,2/4/20,2020,408,35,February,F,No,0.504
Mn20_036B_P,2/5/20,2020,408,36,February,F,Yes,0.338
Mn20_038B_P,2/7/20,2020,408,38,February,F,No,0.340
Mn20_038C_P,2/7/20,2020,408,38,February,F,Yes,0.406
Mn20_038E_P,2/7/20,2020,408,38,February,F,Yes,0.387
Mn20_040A_P,2/9/20,2020,408,40,February,F,No,0.837
Mn20_044A_H,2/13/20,2020,408,44,February,F,Yes,0.433
Mn20_045I_H,2/14/20,2020,408,45,February,F,Yes,0.381
Mn20_045K_H,2/14/20,2020,408,45,February,F,No,0.300
Mn20_046G_H,2/15/20,2020,408,46,February,F,No,0.216
Mn20_047D_H,2/16/20,2020,408,47,February,F,No,0.237
Mn20_048A_P,2/17/20,2020,408,48,February,F,No,0.404
Mn20_050C_H,2/19/20,2020,408,50,February,F,No,0.813
Mn20_051A_P,2/20/20,2020,408,51,February,F,Yes,0.380
Mn20_051D_H,2/20/20,2020,408,51,February,F,Yes,0.458
Mn20_052F_H,2/21/20,2020,408,52,February,F,No,0.536
Mn20_053G_H,2/22/20,2020,408,53,February,F,Yes,0.868
Mn20_053K_H,2/22/20,2020,408,53,February,F,Yes,0.603
Mn20_053L_H,2/22/20,2020,408,53,February,F,Yes,0.617
Mn20_053N_H,2/22/20,2020,408,53,February,F,Yes,0.521
Mn20_053P_H,2/22/20,2020,408,53,February,F,No,0.314
Mn20_053W_H,2/22/20,2020,408,53,February,F,Yes,0.132
Mn20_054C_H,2/23/20,2020,408,54,February,F,No,0.339
Mn20_055A_P,2/24/20,2020,408,55,February,F,No,0.336
Mn20_056B_P,2/25/20,2020,408,56,February,F,Yes,0.592
Mn20_056E_P,2/25/20,2020,408,56,February,F,Yes,0.571
Mn20_056F_P,2/25/20,2020,408,56,February,F,No,0.287
Mn20_056H_P,2/25/20,2020,408,56,February,F,No,0.306
Mn20_059E_P,2/28/20,2020,408,59,February,F,No,0.276
Mn20_059F_P,2/28/20,2020,408,59,February,F,No,0.281
Mn20_059G_P,2/28/20,2020,408,59,February,F,Yes,0.263
Mn20_062B_P,3/2/20,2020,408,62,March,F,Yes,0.259
Mn20_062C_P,3/2/20,2020,408,62,March,F,Yes,0.210
Mn20_062D_P,3/2/20,2020,408,62,March,F,No,0.442
Mn20_062E_P,3/2/20,2020,408,62,March,F,Yes,0.337
Mn20_063E_P,3/3/20,2020,408,63,March,F,No,0.400
Mn20_063H_P,3/3/20,2020,408,63,March,F,No,0.277
Mn20_068F_P,3/8/20,2020,408,68,March,F,No,0.293
Mn20_069A_A,3/9/20,2020,408,69,March,F,No,0.623
Mn20_074B_A,3/14/20,2020,408,74,March,F,No,0.315
Mn21_001A_P,1/1/21,2021,2,1,January,F,Yes,0.284
Mn21_010B_P,1/10/21,2021,2,10,January,F,No,0.455
Mn21_035D_P,2/4/21,2021,2,35,February,F,Yes,0.238
Mn21_036E_P,2/5/21,2021,2,36,February,F,No,0.214
Mn19_011B_P,1/11/19,2019,360,11,January,M,Male,0.442
Mn19_011C_L,1/11/19,2019,360,11,January,M,Male,0.447
Mn19_015B_P,1/15/19,2019,360,15,January,M,Male,0.170
Mn19_015C_P,1/15/19,2019,360,15,January,M,Male,0.321
Mn19_016B_P,1/16/19,2019,360,16,January,M,Male,0.342
Mn19_017B_P,1/17/19,2019,360,17,January,M,Male,0.320
Mn19_017G_P,1/17/19,2019,360,17,January,M,Male,0.506
Mn19_020A_P,1/20/19,2019,360,20,January,M,Male,1.389
Mn19_020C_P,1/20/19,2019,360,20,January,M,Male,1.445
Mn19_023B_P,1/23/19,2019,360,23,January,M,Male,0.418
Mn19_030B_L,1/30/19,2019,360,30,January,M,Male,0.340
Mn19_030F_L,1/30/19,2019,360,30,January,M,Male,0.475
Mn19_031D_P,1/31/19,2019,360,31,January,M,Male,0.338
Mn19_033B_P,2/1/19,2019,360,33,February,M,Male,0.341
Mn19_036C_L,2/4/19,2019,360,36,February,M,Male,0.223
Mn19_042D_P,2/11/19,2019,360,42,February,M,Male,0.541
Mn19_043B_P,2/12/19,2019,360,43,February,M,Male,0.403
Mn19_048B_P,2/17/19,2019,360,48,February,M,Male,0.344
Mn19_050A_P,2/19/19,2019,360,50,February,M,Male,0.353
Mn19_059A_L,2/28/19,2019,360,59,February,M,Male,0.663
Mn19_059C_L,2/28/19,2019,360,59,February,M,Male,0.700
Mn19_060A_L,3/1/19,2019,360,60,March,M,Male,0.588
Mn19_062B_L,3/3/19,2019,360,62,March,M,Male,0.427
Mn19_062B_P,3/3/19,2019,360,62,March,M,Male,0.271
Mn19_062F_L,3/3/19,2019,360,62,March,M,Male,0.301
Mn19_062G_L,3/3/19,2019,360,62,March,M,Male,0.682
Mn19_063A_L,3/4/19,2019,360,63,March,M,Male,0.736
Mn19_063D_L,3/4/19,2019,360,63,March,M,Male,0.670
Mn19_064A_L-2,3/5/19,2019,360,64,March,M,Male,0.448
Mn19_064B_L,3/5/19,2019,360,64,March,M,Male,0.310
Mn19_064D_P,3/5/19,2019,360,64,March,M,Male,0.539
Mn19_065D_V,3/6/19,2019,360,65,March,M,Male,0.768
Mn19_066C_L,3/7/19,2019,360,66,March,M,Male,0.414
Mn19_070A_L,3/11/19,2019,360,70,March,M,Male,0.685
Mn19_076B_R,3/17/19,2019,360,76,March,M,Male,0.433
Mn19_076C_R,3/17/19,2019,360,76,March,M,Male,0.409
Mn19_076D_R,3/17/19,2019,360,76,March,M,Male,0.697
Mn19_077A_R,3/18/19,2019,360,77,March,M,Male,1.624
Mn19_083C_R,3/24/19,2019,360,83,March,M,Male,0.674
Mn19_084B_R,3/25/19,2019,360,84,March,M,Male,2.768
Mn20_021F_P,1/21/20,2020,408,21,January,M,Male,0.570
Mn20_025A_P,1/25/20,2020,408,25,January,M,Male,0.684
Mn20_029F_L,1/29/20,2020,408,29,January,M,Male,0.474
Mn20_030E_L,1/30/20,2020,408,30,January,M,Male,0.588
Mn20_031A_P,1/31/20,2020,408,31,January,M,Male,0.350
Mn20_035D_P,2/4/20,2020,408,35,February,M,Male,0.493
Mn20_040F_P,2/9/20,2020,408,40,February,M,Male,0.465
Mn20_045F_H,2/14/20,2020,408,45,February,M,Male,0.770
Mn20_045G_H,2/14/20,2020,408,45,February,M,Male,0.550
Mn20_046B_H,2/15/20,2020,408,46,February,M,Male,0.538
Mn20_046L_H,2/15/20,2020,408,46,February,M,Male,1.006
Mn20_046N_H,2/15/20,2020,408,46,February,M,Male,0.597
Mn20_047J_H,2/16/20,2020,408,47,February,M,Male,1.121
Mn20_047P_H,2/16/20,2020,408,47,February,M,Male,1.072
Mn20_049G_P,2/18/20,2020,408,49,February,M,Male,0.614
Mn20_053E_H,2/22/20,2020,408,53,February,M,Male,0.668
Mn20_053S_H,2/22/20,2020,408,53,February,M,Male,0.324
Mn20_056I_P,2/25/20,2020,408,56,February,M,Male,0.240
Mn20_062F_P,3/2/20,2020,408,62,March,M,Male,0.297
Mn20_072A_A,3/12/20,2020,408,72,March,M,Male,0.300
Mn20_073C_A,3/13/20,2020,408,73,March,M,Male,0.766
Mn20_078A_P,3/18/20,2020,408,78,March,M,Male,0.415
Mn21_010C_P,1/10/21,2021,2,10,January,M,Male,0.488
